date,indicator,value,entity
2020-04-28,Daily hospital occupancy,5514.0,Japan
2020-05-07,Daily hospital occupancy,4436.0,Japan
2020-05-13,Daily hospital occupancy,3423.0,Japan
2020-05-21,Daily hospital occupancy,2058.0,Japan
2020-05-27,Daily hospital occupancy,1369.0,Japan
2020-06-03,Daily hospital occupancy,1015.0,Japan
2020-06-10,Daily hospital occupancy,781.0,Japan
2020-06-17,Daily hospital occupancy,587.0,Japan
2020-06-24,Daily hospital occupancy,559.0,Japan
2020-07-01,Daily hospital occupancy,696.0,Japan
2020-07-08,Daily hospital occupancy,1039.0,Japan
2020-07-15,Daily hospital occupancy,1717.0,Japan
2020-07-22,Daily hospital occupancy,2744.0,Japan
2020-07-29,Daily hospital occupancy,4034.0,Japan
2020-08-05,Daily hospital occupancy,5116.0,Japan
2020-08-12,Daily hospital occupancy,6009.0,Japan
2020-08-19,Daily hospital occupancy,5973.0,Japan
2020-08-26,Daily hospital occupancy,5576.0,Japan
2020-09-02,Daily hospital occupancy,4994.0,Japan
2020-09-09,Daily hospital occupancy,4174.0,Japan
2020-09-16,Daily hospital occupancy,3754.0,Japan
2020-09-23,Daily hospital occupancy,3601.0,Japan
2020-09-30,Daily hospital occupancy,3249.0,Japan
2020-10-07,Daily hospital occupancy,2963.0,Japan
2020-10-14,Daily hospital occupancy,3040.0,Japan
2020-10-21,Daily hospital occupancy,2966.0,Japan
2020-10-28,Daily hospital occupancy,3108.0,Japan
2020-11-04,Daily hospital occupancy,3495.0,Japan
2020-11-11,Daily hospital occupancy,4484.0,Japan
2020-11-18,Daily hospital occupancy,5951.0,Japan
2020-11-25,Daily hospital occupancy,7826.0,Japan
2020-12-02,Daily hospital occupancy,8488.0,Japan
2020-12-09,Daily hospital occupancy,9222.0,Japan
2020-12-16,Daily hospital occupancy,10047.0,Japan
2020-12-23,Daily hospital occupancy,10470.0,Japan
2020-12-30,Daily hospital occupancy,11585.0,Japan
2021-01-06,Daily hospital occupancy,13093.0,Japan
2021-01-13,Daily hospital occupancy,14825.0,Japan
2021-01-20,Daily hospital occupancy,14724.0,Japan
2021-01-27,Daily hospital occupancy,14417.0,Japan
2021-02-03,Daily hospital occupancy,13489.0,Japan
2021-02-10,Daily hospital occupancy,11325.0,Japan
2021-02-17,Daily hospital occupancy,9575.0,Japan
2021-02-24,Daily hospital occupancy,8032.0,Japan
2021-03-03,Daily hospital occupancy,6683.0,Japan
2021-03-10,Daily hospital occupancy,5947.0,Japan
2021-03-17,Daily hospital occupancy,5895.0,Japan
2021-03-24,Daily hospital occupancy,6275.0,Japan
2021-03-31,Daily hospital occupancy,7263.0,Japan
2021-04-07,Daily hospital occupancy,8602.0,Japan
2021-04-14,Daily hospital occupancy,9423.0,Japan
2021-04-21,Daily hospital occupancy,11279.0,Japan
2021-04-28,Daily hospital occupancy,13089.0,Japan
2021-05-05,Daily hospital occupancy,14927.0,Japan
2021-05-12,Daily hospital occupancy,16620.0,Japan
2021-05-19,Daily hospital occupancy,17372.0,Japan
2021-05-26,Daily hospital occupancy,16581.0,Japan
2021-06-02,Daily hospital occupancy,14475.0,Japan
2021-06-09,Daily hospital occupancy,11888.0,Japan
2021-06-16,Daily hospital occupancy,9202.0,Japan
2021-06-23,Daily hospital occupancy,7337.0,Japan
2021-06-30,Daily hospital occupancy,6431.0,Japan
2021-07-07,Daily hospital occupancy,5888.0,Japan
2021-07-14,Daily hospital occupancy,6564.0,Japan
2021-07-21,Daily hospital occupancy,8174.0,Japan
2021-07-28,Daily hospital occupancy,10649.0,Japan
2021-08-04,Daily hospital occupancy,15026.0,Japan
2021-08-11,Daily hospital occupancy,18706.0,Japan
2021-08-18,Daily hospital occupancy,21434.0,Japan
2021-08-25,Daily hospital occupancy,24126.0,Japan
2021-09-01,Daily hospital occupancy,24320.0,Japan
2021-09-08,Daily hospital occupancy,22557.0,Japan
2021-09-15,Daily hospital occupancy,17481.0,Japan
2021-09-22,Daily hospital occupancy,12792.0,Japan
2021-09-29,Daily hospital occupancy,7467.0,Japan
2021-10-06,Daily hospital occupancy,4673.0,Japan
2021-10-13,Daily hospital occupancy,2908.0,Japan
2021-10-20,Daily hospital occupancy,1939.0,Japan
2021-10-27,Daily hospital occupancy,1265.0,Japan
2021-11-03,Daily hospital occupancy,964.0,Japan
2021-11-10,Daily hospital occupancy,755.0,Japan
2021-11-17,Daily hospital occupancy,626.0,Japan
2021-11-24,Daily hospital occupancy,529.0,Japan
2021-12-01,Daily hospital occupancy,421.0,Japan
2021-12-08,Daily hospital occupancy,362.0,Japan
2021-12-15,Daily hospital occupancy,416.0,Japan
2021-12-22,Daily hospital occupancy,603.0,Japan
2021-12-29,Daily hospital occupancy,1016.0,Japan
2022-01-05,Daily hospital occupancy,2262.0,Japan
2022-01-12,Daily hospital occupancy,6642.0,Japan
2022-01-19,Daily hospital occupancy,10934.0,Japan
2022-01-26,Daily hospital occupancy,17269.0,Japan
2022-02-02,Daily hospital occupancy,22653.0,Japan
2022-02-09,Daily hospital occupancy,26734.0,Japan
2022-02-16,Daily hospital occupancy,29225.0,Japan
2022-02-23,Daily hospital occupancy,29233.0,Japan
2022-03-02,Daily hospital occupancy,27492.0,Japan
2022-03-09,Daily hospital occupancy,24191.0,Japan
2022-03-16,Daily hospital occupancy,19767.0,Japan
2022-03-23,Daily hospital occupancy,16233.0,Japan
2022-03-30,Daily hospital occupancy,12581.0,Japan
2022-04-06,Daily hospital occupancy,11917.0,Japan
2022-04-13,Daily hospital occupancy,12354.0,Japan
2022-04-20,Daily hospital occupancy,11508.0,Japan
2022-04-27,Daily hospital occupancy,10774.0,Japan
2022-05-04,Daily hospital occupancy,9264.0,Japan
2022-05-11,Daily hospital occupancy,9005.0,Japan
2022-05-18,Daily hospital occupancy,9256.0,Japan
2022-05-25,Daily hospital occupancy,9100.0,Japan
2022-06-01,Daily hospital occupancy,8210.0,Japan
2022-06-08,Daily hospital occupancy,6505.0,Japan
2022-06-15,Daily hospital occupancy,5237.0,Japan
2022-06-22,Daily hospital occupancy,4862.0,Japan
